year,group,match,team,score,shots,target,target_shots,coner kicks,possession,TPC,TPA,TPP,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPC_SPA,LPP_SPP,MPC,MPA,LPA_SPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,formation,Opponent,result
2010,16,55,Paraguay,0,13,6,0.461538462,6,58,368,615,60,1.3125,2.238095238,63,141,48,104,0.446808511,0.461538462,0.968085106,257,370,1.355769231,4,12,6,22,15,16,20,8,14,5,56,22,22,26,4123,Japan,d
2010,16,55,Japan,0,12,5,0.416666667,5,42,225,428,53,0.484375,3.161290323,31,98,64,97,0.316326531,0.659793814,0.479432398,130,233,1.010309278,4,13,6,23,10,17,19,3,15,11,33,50,17,29,4123,Paraguay,d
2010,16,56,Spain,1,19,10,0.526315789,6,61,635,754,84,0.409638554,1.455882353,68,99,166,188,0.686868687,0.882978723,0.777899477,401,467,0.526595745,3,9,6,18,11,29,17,8,10,7,30,50,20,13,442,Portugal,w
2010,16,56,Portugal,0,9,3,0.333333333,3,39,315,453,70,0.428571429,2.305555556,36,83,84,113,0.43373494,0.743362832,0.583476764,195,257,0.734513274,6,16,7,29,16,19,11,7,17,1,28,43,29,18,4123,Spain,l
2010,8,57,Netherlands,2,11,5,0.454545455,4,51,307,422,73,0.85483871,1.981132075,53,105,62,75,0.504761905,0.826666667,0.610599078,192,242,1.4,2,12,5,19,15,19,22,2,13,10,14,29,57,19,4231,Brazil,w
2010,8,57,Brazil,1,15,4,0.266666667,8,49,325,435,75,0.518072289,1.860465116,43,80,83,110,0.5375,0.754545455,0.712349398,199,245,0.727272727,3,14,7,24,10,22,16,4,16,8,39,15,46,20,41212,Netherlands,l
2010,8,58,Uruguay,1,14,6,0.428571429,12,48,254,493,52,0.962264151,2.392156863,51,122,53,108,0.418032787,0.490740741,0.851840396,150,263,1.12962963,4,13,4,21,15,16,20,5,15,8,66,17,17,23,442,Ghana,d
2010,8,58,Ghana,1,26,8,0.307692308,8,52,350,615,57,0.533333333,2.5,48,120,90,154,0.4,0.584415584,0.684444444,212,341,0.779220779,4,11,4,19,12,22,19,5,11,12,8,46,46,23,4141,Uruguay,d
2010,8,59,Argentina,0,20,7,0.35,5,53,446,623,72,0.215517241,2.16,25,54,116,168,0.462962963,0.69047619,0.670498084,305,401,0.321428571,3,10,4,17,11,23,19,7,12,11,7,43,50,20,41212,Germany,l
2010,8,59,Germany,4,18,6,0.333333333,4,47,334,529,63,0.376237624,1.921052632,38,73,101,165,0.520547945,0.612121212,0.850400109,195,291,0.442424242,5,10,7,22,9,17,19,11,11,11,50,14,36,14,4231,Argentina,w
2010,8,60,Paraguay,0,9,4,0.444444444,1,40,190,347,55,0.359375,3.913043478,23,90,64,90,0.255555556,0.711111111,0.359375,103,167,1,7,17,9,33,12,15,16,2,18,4,60,20,20,25,4132,Spain,l
2010,8,60,Spain,1,16,6,0.375,7,60,532,672,79,0.448529412,1.836065574,61,112,136,166,0.544642857,0.819277108,0.664784664,335,394,0.674698795,4,9,6,19,16,21,18,7,10,9,19,50,31,12,4132,Paraguay,w
2010,4,61,Uruguay,2,12,6,0.5,4,47,326,565,58,0.388888889,2.114285714,35,74,90,160,0.472972973,0.5625,0.840840841,201,331,0.4625,3,9,6,18,16,16,24,11,12,3,57,29,14,15,442,Netherlands,l
2010,4,61,Netherlands,3,11,7,0.636363636,5,53,390,610,64,0.390909091,2.186046512,43,94,110,184,0.457446809,0.597826087,0.765183752,237,332,0.510869565,6,12,7,25,18,19,12,4,14,8,25,50,25,16,4231,Uruguay,w
2010,4,62,Germany,0,5,2,0.4,6,49,441,589,75,0.5625,2.155555556,45,97,80,105,0.463917526,0.761904762,0.608891753,316,387,0.923809524,3,12,10,25,15,18,20,4,13,5,57,14,29,9,4231,Spain,l
2010,4,62,Spain,1,13,5,0.384615385,7,51,590,731,81,0.557377049,1.632352941,68,111,122,154,0.612612613,0.792207792,0.773297888,400,466,0.720779221,2,8,4,14,12,23,20,9,10,12,24,38,38,7,4231,Germany,w
2010,3,63,Uruguay,2,16,7,0.4375,6,47,303,485,62,0.405063291,2.3125,32,74,79,133,0.432432432,0.593984962,0.728019158,192,278,0.556390977,2,11,7,20,12,19,24,4,13,8,23,33,44,13,442,Germany,l
2010,3,63,Germany,3,18,7,0.388888889,12,53,393,591,66,0.369565217,2.470588235,34,84,92,138,0.404761905,0.666666667,0.607142857,267,369,0.608695652,4,10,6,20,15,19,15,11,11,9,31,38,31,11,4231,Uruguay,w
2010,1,64,Netherlands,0,13,5,0.384615385,6,43,294,475,62,1.12962963,1.950819672,61,119,54,98,0.512605042,0.551020408,0.930283224,179,258,1.214285714,5,17,11,33,9,15,17,3,18,5,36,9,55,28,4231,Spain,l
2010,1,64,Spain,1,19,6,0.315789474,8,57,542,715,76,0.432624113,1.836065574,61,112,141,174,0.544642857,0.810344828,0.672112462,340,429,0.643678161,5,8,4,17,15,26,20,5,9,8,20,47,33,19,4231,Netherlands,w
