year,group,match,team,formation,score,shots,target,fouls,coner kicks,possession,LPC,LPA,MPC,MPA,SPC,SPA,TPC,TPA,TPP,LB,CB,RB,LM,CM,RM,LF,CF,RF,LA,CA,RA,result
2014,F,32,Nigeria,433,0,10,6,16,7,63,39,78,335,406,90,118,464,602,77,4,12,4,11,34,16,6,8,7,39,22,39,d
2014,F,33,Argentina,433,1,19,9,8,10,70,61,89,346,413,103,128,510,630,81,3,8,2,12,31,13,12,8,11,40,23,37,w
2014,F,33,Iran,4231,0,8,4,14,6,30,23,59,77,124,36,59,136,242,56,10,28,6,12,18,11,5,4,6,40,15,45,l
2014,F,34,Nigeria,4231,1,20,13,9,4,46,41,83,186,242,72,97,299,422,71,4,19,6,9,23,17,3,7,12,23,16,60,w
2014,F,34,Bosnia and Herzegovina,4231,0,18,10,7,4,54,33,66,338,396,104,134,475,596,80,4,12,4,12,30,14,7,10,7,29,31,40,l
2014,F,35,Nigeria,442,2,12,7,17,4,43,43,81,197,254,68,100,308,435,71,7,16,6,12,22,19,5,6,8,23,30,47,l
2014,F,35,Argentina,433,3,18,13,6,12,57,50,90,317,380,112,145,479,615,78,6,10,3,15,32,15,7,5,7,38,17,45,w
2014,F,36,Bosnia and Herzegovina,4222,3,13,9,20,6,62,48,82,347,416,148,172,543,670,81,5,14,4,14,32,18,5,5,4,39,25,36,w
2014,F,36,Iran,4231,1,7,5,17,5,38,30,63,170,230,76,106,276,399,69,5,16,6,15,17,21,5,5,10,31,12,56,l
2014,G,37,Germany,433,4,13,9,8,4,54,62,89,304,361,117,138,483,588,82,5,17,5,17,21,14,8,7,6,50,14,36,w
2014,G,37,Portugal,433,0,14,9,11,6,46,46,71,257,307,88,113,391,491,80,8,16,4,16,24,15,5,5,7,19,28,53,l
2014,G,38,Ghana,4231,1,21,8,10,7,59,56,95,282,352,107,141,445,588,76,5,11,4,16,19,19,7,5,14,26,11,63,l
2014,G,38,United States,4312,2,8,7,12,3,41,28,76,184,253,69,100,281,429,66,9,23,8,15,18,13,5,4,5,45,18,36,w
2014,G,39,Germany,4123,2,11,6,11,7,59,39,67,414,483,131,163,584,713,82,6,15,4,15,25,16,6,6,7,29,29,42,d
2014,G,39,Ghana,4231,2,20,10,17,3,41,47,85,202,256,86,112,335,453,74,6,16,6,14,20,19,4,5,10,24,15,61,d
2014,G,40,United States,4231,2,15,10,11,6,48,45,64,271,328,137,161,453,553,82,11,16,3,22,19,15,4,3,7,18,12,70,d
2014,G,40,Portugal,433,2,20,9,14,4,52,44,59,316,377,128,146,488,582,84,6,12,4,16,25,16,7,6,8,34,21,45,d
2014,G,41,United States,4231,0,4,1,15,2,37,39,66,217,261,107,131,363,458,79,8,21,9,15,20,16,4,2,6,29,6,65,l
2014,G,41,Germany,4123,1,13,9,9,3,63,52,67,496,545,177,207,725,819,89,5,10,4,14,26,19,8,7,8,34,21,45,w
2014,G,42,Portugal,433,2,19,10,21,7,54,53,114,266,323,99,131,418,568,74,8,16,6,14,21,13,9,8,5,39,28,33,w
2014,G,42,Ghana,4222,1,18,6,16,4,46,41,81,173,243,71,100,285,424,67,4,14,5,15,23,18,7,6,9,30,16,55,l
2014,H,43,Belgium,4231,2,16,10,20,7,65,62,84,383,446,102,135,547,665,82,2,9,4,17,34,14,8,6,6,43,24,33,w
2014,H,43,Algeria,433,1,3,1,18,2,35,30,72,117,182,59,82,206,336,61,8,24,9,20,19,13,5,1,1,71,0,29,l
2014,H,44,Russia,433,1,16,10,15,4,48,39,68,271,349,98,125,408,542,75,3,15,5,12,23,20,6,5,11,32,9,60,d
2014,H,44,South Korea,442,1,10,6,7,4,52,48,91,274,316,104,143,426,550,77,6,13,7,17,26,16,5,4,7,23,23,54,d
2014,H,45,Belgium,4231,1,11,7,14,5,53,68,106,206,277,81,117,355,500,71,5,16,5,18,20,16,7,6,7,48,11,41,w
2014,H,45,Russia,5131,0,13,6,9,8,47,38,79,206,281,85,110,329,470,70,6,16,4,15,22,16,7,6,8,41,12,46,l
2014,H,46,South Korea,4231,2,9,6,13,7,54,56,87,223,300,77,104,356,491,73,3,10,4,16,29,15,6,10,7,24,33,42,l
2014,H,46,Algeria,523,4,15,8,15,5,46,43,86,199,256,89,116,331,458,72,7,15,5,21,20,13,9,4,6,44,15,41,w
2014,H,47,South Korea,442,0,18,12,16,7,50,56,93,217,283,95,125,368,501,73,5,11,4,14,26,16,7,8,9,31,21,48,l
2014,H,47,Belgium,4231,1,16,11,11,4,50,37,69,164,233,84,119,285,421,68,4,17,7,17,19,16,8,5,7,34,22,44,w
2014,H,48,Algeria,4411,1,8,6,15,3,47,35,84,214,277,73,104,322,465,69,5,14,6,19,23,12,12,6,3,65,16,19,d
2014,H,48,Russia,4231,1,10,7,14,4,53,37,77,277,353,126,158,440,588,75,6,15,5,16,24,16,6,6,7,37,15,48,d
2014,16,49,Brazil,4231,1,23,13,28,9,49,49,95,241,332,103,147,393,574,68,6,17,4,17,20,11,8,9,8,44,16,40,d
2014,16,49,Chile,5212,1,13,5,23,5,51,67,121,281,357,76,115,424,593,72,6,19,7,12,23,15,6,5,7,44,17,38,d
2014,16,50,Colombia,442,2,10,8,19,3,54,42,82,208,259,89,121,339,462,73,4,18,7,18,23,14,7,5,4,35,22,43,w
2014,16,50,Uruguay,442,0,16,9,17,5,46,36,69,216,270,77,98,329,437,75,6,12,5,19,23,14,9,8,4,33,31,36,l
2014,16,51,Netherlands,4312,2,14,8,10,1,55,71,107,311,373,79,95,461,575,80,6,10,3,23,25,15,6,5,7,42,12,46,w
2014,16,51,Mexico,532,1,12,7,12,2,45,34,64,207,266,70,94,311,424,73,4,17,8,10,24,20,5,5,7,21,21,59,l
2014,16,52,Costa Rica,541,1,6,2,22,3,43,40,92,216,267,78,108,334,467,72,6,19,6,14,21,18,4,4,8,18,14,68,d
2014,16,52,Greece,4123,1,24,13,16,11,57,73,108,316,377,113,139,502,624,80,6,14,4,17,26,15,8,6,5,43,27,30,d
2014,16,53,France,433,2,15,9,12,12,49,31,68,214,266,95,114,340,448,76,3,14,6,11,22,17,8,3,11,32,15,54,w
2014,16,53,Nigeria,442,0,8,6,15,9,51,41,82,208,253,66,86,315,421,75,7,15,5,14,25,15,3,5,11,14,16,70,l
2014,16,54,Germany,4123,2,29,22,11,10,63,49,88,539,631,180,221,768,940,82,5,11,3,16,28,18,6,6,7,40,24,36,w
2014,16,54,Algeria,5131,1,11,7,20,4,37,35,99,189,261,111,144,335,504,66,11,19,5,21,19,13,5,2,5,44,12,44,l
2014,16,55,Argentina,433,1,29,22,19,13,61,69,119,415,507,103,142,587,768,76,4,11,5,15,25,14,9,8,9,37,17,46,w
2014,16,55,Switzerland,4231,0,14,7,28,5,39,23,67,185,253,127,169,335,489,69,9,17,6,18,17,14,9,4,6,51,20,29,l
2014,16,56,Belgium,4231,2,38,26,27,19,48,50,93,287,363,117,151,454,607,75,5,13,5,13,16,15,12,11,11,41,20,39,w
2014,16,56,United States,433,1,14,9,11,4,52,57,94,362,454,160,198,579,746,78,10,19,6,13,17,14,7,6,8,29,12,59,l
2014,8,57,France,433,0,13,9,15,5,50,50,93,228,292,98,126,376,511,74,6,21,7,15,18,16,7,4,6,52,10,39,l
2014,8,57,Germany,4231,1,8,6,18,3,50,41,82,244,303,93,132,378,517,73,4,17,8,11,19,24,5,6,6,27,27,46,w
2014,8,58,Brazil,4231,2,12,6,31,4,51,28,61,163,210,74,98,265,369,72,5,17,5,19,20,15,6,8,5,29,26,45,w
2014,8,58,Colombia,442,1,11,5,23,6,49,26,50,151,211,76,107,253,368,69,6,13,6,13,20,18,9,9,7,26,21,54,l
