year,group,match,team,score,TPP,shots,target,possession,target_shots,coner.kicks,TPC,TPA,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPP,LPP_SPP,MPC,MPA,SPA_LPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,side,formation,Opponent,side_attack,result,cluster
2010,B,12,Argentina,2,83,22,12,67,0.545454545,10,662,800,0.341176471,0.651685393,58,89,170,216,0.651685393,0.787037037,0.828023794,434,495,2.426966292,4,5,4,0.076923077,18,24,19,9,7,10,18,53,29,8,64,433,Greece,64,w,4
2010,C,13,England,1,70,18,8,53,0.444444444,8,339,487,0.955223881,0.520325203,64,123,67,94,0.520325203,0.712765957,0.730008494,208,270,0.764227642,4,12,8,0.041666667,16,17,12,7,15,9,21,50,29,12,56,442,United States,56,d,2
2010,C,13,United States,1,58,13,4,47,0.307692308,4,218,376,0.563636364,0.344444444,31,90,55,84,0.344444444,0.654761905,0.526060606,132,202,0.933333334,3,11,4,0.055555556,11,22,21,5,14,9,11,33,56,14,53,442,England,53,d,1
2010,C,14,Algeria,0,72,11,2,48,0.181818182,4,343,479,0.569892473,0.456896552,53,116,93,114,0.456896552,0.815789474,0.560066741,197,249,0.98275862,7,15,7,0.034482759,17,14,13,6,16,3,75,0,25,17,53,433,Slovenia,53,l,3
2010,C,14,Slovenia,1,74,7,4,52,0.571428571,3,398,537,0.738461538,0.545454546,48,88,65,96,0.545454545,0.677083333,0.805594406,285,353,1.090909091,3,13,5,0.047619048,12,26,20,3,15,3,25,50,25,10,46,442,Algeria,46,w,2
2010,C,15,Slovenia,2,68,7,4,48,0.571428571,2,276,406,0.428571429,0.4,30,75,70,91,0.4,0.769230769,0.52,176,240,1.213333334,2,11,4,0.058823529,19,17,13,13,13,8,42,29,29,15,59,442,United States,59,d,2
2010,C,15,United States,2,71,14,6,52,0.428571429,4,303,428,0.52238806,0.402298851,35,87,67,81,0.402298851,0.827160494,0.486361297,201,260,0.931034483,3,11,8,0.045454545,14,23,20,4,13,4,37,13,50,18,53,442,Slovenia,53,d,2
2010,C,16,England,0,77,15,6,47,0.4,10,462,602,0.485148515,0.583333333,49,84,101,140,0.583333333,0.721428571,0.808580858,312,378,1.666666667,2,13,7,0.045454545,8,25,19,2,16,8,25,45,30,13,46,442,Algeria,46,d,1
2010,C,16,Algeria,0,72,11,1,53,0.090909091,3,383,530,0.365079365,0.446601942,46,103,126,153,0.446601942,0.823529412,0.542302358,211,274,1.485436894,6,11,5,0.045454545,17,15,18,7,13,8,37,25,38,13,61,3421,England,61,d,3
2010,C,17,Slovenia,0,62,13,6,45,0.461538462,2,241,391,1.046511628,0.441176471,45,102,43,78,0.441176471,0.551282051,0.800273598,153,211,0.764705882,6,15,7,0.035714286,17,15,16,6,16,2,14,29,57,19,54,442,England,54,l,1
2010,C,17,England,1,73,13,8,55,0.615384615,11,419,575,0.647619048,0.515151515,68,132,105,139,0.515151515,0.755395683,0.681962482,246,304,1.053030303,3,12,5,0.05,14,13,19,10,12,12,43,13,44,20,63,442,Slovenia,63,w,2
2010,C,18,United States,1,74,22,10,51,0.454545455,4,350,470,0.753246753,0.58,58,100,77,96,0.58,0.802083333,0.723116883,215,274,0.96,4,13,6,0.043478261,12,16,21,3,14,11,23,31,46,11,57,442,Algeria,57,w,2
2010,C,18,Algeria,0,74,19,4,49,0.210526316,6,331,447,0.641304348,0.578431373,59,102,92,111,0.578431373,0.828828829,0.697890026,180,234,1.088235294,5,14,6,0.04,17,15,15,6,16,6,40,25,35,21,55,3421,United States,55,l,3
2010,D,19,Serbia,0,72,13,2,51,0.153846154,4,325,454,0.796875,0.485714286,51,105,64,89,0.485714286,0.719101124,0.675446429,210,260,0.847619048,5,17,5,0.037037037,11,19,17,5,18,3,12,38,50,10,46,442,Ghana,46,l,1
2010,D,19,Ghana,1,73,16,3,49,0.1875,4,339,466,0.519480519,0.416666667,40,96,77,100,0.416666667,0.77,0.541125541,222,270,1.041666667,3,12,5,0.05,11,22,19,7,13,8,34,58,8,15,53,4231,Serbia,53,w,1
2010,D,20,Germany,4,77,16,10,55,0.625,4,472,616,1.295081967,0.637096774,79,124,61,96,0.637096774,0.635416667,1.002644104,332,396,0.774193548,2,11,6,0.052631579,10,22,24,2,13,10,20,30,50,10,54,4231,Australia,54,w,2
2010,D,20,Australia,0,72,10,2,45,0.2,7,384,530,0.482758621,0.477272727,42,88,87,119,0.477272727,0.731092437,0.652821317,255,323,1.352272728,3,13,6,0.045454545,10,20,24,0,15,9,8,23,69,19,52,4231,Germany,52,l,3
2010,D,21,Germany,0,81,15,4,51,0.266666667,7,459,570,0.523255814,0.569620253,45,79,86,111,0.569620253,0.774774775,0.735207536,328,380,1.405063291,3,12,10,0.04,10,17,20,6,13,9,21,29,50,19,58,4231,Serbia,58,l,4
2010,D,21,Serbia,1,73,9,3,49,0.333333333,1,328,448,0.739130435,0.525773196,51,97,69,90,0.525773196,0.766666667,0.685791125,208,261,0.927835051,4,16,4,0.041666667,11,20,16,4,19,6,28,36,36,10,45,4123,Germany,45,w,1
2010,D,22,Ghana,1,77,22,6,50,0.272727273,6,388,501,0.47826087,0.602739726,44,73,92,113,0.602739726,0.814159292,0.74032162,252,315,1.547945206,3,9,4,0.0625,15,22,21,6,9,11,12,35,53,22,60,4231,Australia,60,d,4
2010,D,22,Australia,1,72,8,5,50,0.625,1,340,475,0.75,0.517241379,60,116,80,106,0.517241379,0.754716981,0.685344828,200,253,0.913793103,6,13,8,0.037037037,10,20,21,1,15,6,14,43,43,18,52,4231,Ghana,52,d,2
