team,Opponent,cluster,TPP,possession,target_shots,CA,BACK,SPA_LPA
Slovakia,New Zealand,3,-1.203775277,-0.322378639,-0.956458667,0.167444042,-0.848504837,-1.484576795
Slovakia,Paraguay,2,-0.009331591,0.16118932,-1.405936094,1.278292319,-1.360352399,0.092672801
Paraguay,Slovakia,4,-0.407479487,-0.16118932,0.612626173,-0.355308089,0.320662971,-0.227504874
Italy,New Zealand,1,0.654248234,1.128325237,-0.440536752,0.298132074,1.47869583,0.246287799
New Zealand,Italy,3,-2.398218963,-1.128325237,-0.237294787,1.278292319,-1.521662023,-1.384332399
Slovakia,Cameroon,2,-0.142047556,0,-0.237294787,-1.335468334,-0.584050158,-0.397438813
Italy,Slovakia,4,0.654248234,0,0.054865544,-0.093932023,-0.848504837,0.816022566
Paraguay,New Zealand,1,0.786964199,1.128325237,-0.512269211,-0.68202817,1.47869583,0.107003711
New Zealand,Paraguay,2,0.786964199,-1.128325237,-2.574577409,-1.988908497,-1.360352399,0.107003711
Ivory Coast,Portugal,1,0.786964199,-0.16118932,-1.172207834,-0.093932023,1.871599765,1.31413243
Portugal,Ivory Coast,2,0.786964199,0.16118932,-0.5711923,-1.988908497,0.320662971,1.31413243
Brazil,North Korea,1,1.715975955,2.095461154,0.12228716,-0.289964072,2.853859767,1.123456241
North Korea,Brazil,3,-0.540195452,-2.095461154,-0.66225526,1.670356417,-1.176793254,0.417051865
Brazil,Ivory Coast,4,1.84869192,0.967135917,0.931346528,1.670356417,0.103531811,1.305744021
Ivory Coast,Brazil,2,0.786964199,-0.967135917,0.23016174,-1.139436285,0.103531811,1.372388494
Portugal,North Korea,4,0.654248234,0.644757278,0.931346528,1.147604287,0.320662971,0.325977694
North Korea,Portugal,4,-0.009331591,-0.644757278,-0.704751307,1.931732483,-0.434575828,1.66649101
Portugal,Brazil,2,-0.142047556,-1.773082515,-0.956458667,-1.335468334,-1.360352399,-0.566549167
Brazil,Portugal,1,1.84869192,1.773082515,-0.729354282,0.102100026,2.324950573,0.50926446
North Korea,Ivory Coast,3,-1.601923173,-1.773082515,0.931346528,1.278292319,-0.848504837,0.391831323
Ivory Coast,North Korea,1,0.786964199,1.773082515,1.181769668,-0.028588007,2.324950573,0.827651672
Honduras,Chile,3,-1.601923173,-1.128325237,-0.5711923,-1.139436285,-0.584050158,-1.158061814
Chile,Honduras,2,0.388816304,1.128325237,-0.82161544,-0.355308089,-0.434575828,-1.484576795
Spain,Switzerland,1,0.919680165,2.095461154,-0.237294787,-0.15927604,3.478934344,-1.198078239
Switzerland,Spain,3,-1.734639138,-2.095461154,0.054865544,2.389140597,-1.521662023,-0.803970105
Chile,Switzerland,4,0.919680165,1.289514556,-0.120430653,-0.616684154,0.561919844,-1.38866346
Switzerland,Chile,3,-1.867355103,-1.289514556,-1.572884854,-0.68202817,-1.176793254,-0.772516902
Spain,Honduras,1,0.919680165,1.128325237,-0.343534905,-0.485996121,1.47869583,1.200917818
Honduras,Spain,2,-0.274763522,-1.128325237,-2.574577409,0.167444042,-0.966040186,0.974425782
Chile,Spain,3,0.256100339,-1.450703876,0.541799421,0.624852156,-0.966040186,-0.326367519
Spain,Chile,1,1.84869192,1.450703876,-0.237294787,-0.355308089,2.324950573,2.734577573
Switzerland,Honduras,4,1.185112095,0.967135917,-0.512269211,0.820884205,0.103531811,0.007218101
Honduras,Switzerland,2,-0.540195452,-0.967135917,-0.82161544,-0.878060219,-1.075180159,-0.468886652
Uruguay,South Korea,3,-1.071059312,-0.805946598,1.432192801,-1.335468334,-0.092920157,-0.655678062
South Korea,Uruguay,1,0.123384374,0.805946598,-0.237294787,-0.224620056,1.134904804,-0.09236134
United States,Ghana,3,-1.336491242,0.16118932,-0.471023047,0.167444042,-1.075180159,-0.317471903
Ghana,United States,3,-0.938343347,-0.16118932,0.054865544,0.167444042,0.320662971,-0.340062089
Germany,England,3,-0.540195452,-0.322378639,0.312654069,0.624852156,-0.584050158,-0.179429082
England,Germany,4,-0.009331591,0.322378639,0.746824219,0.755540189,0.320662971,0.075083048
Argentina,Mexico,4,0.388816304,0.16118932,1.250066882,1.278292319,0.320662971,1.037234042
Mexico,Argentina,1,0.654248234,-0.16118932,0.054865544,0.820884205,1.47869583,0.42086427
Netherlands,Slovakia,4,0.521532269,0.322378639,1.36958702,1.735700434,-0.584050158,-1.058349681
Slovakia,Netherlands,2,0.388816304,-0.322378639,-0.82161544,-0.551340138,0.103531811,0.268021405
Brazil,Chile,3,-0.938343347,0,-0.099807575,0.755540189,-0.271512952,0.032164506
Chile,Brazil,1,-0.672911417,0,-1.172207834,2.127764532,1.134904804,0.708489205
Paraguay,Japan,4,-1.336491242,1.289514556,0.661660074,-0.551340138,-0.271512952,-1.168801335
Japan,Paraguay,3,-2.265502998,-1.289514556,0.347025874,1.278292319,-0.434575828,-0.589968237
Spain,Portugal,1,1.84869192,1.773082515,1.115868837,1.278292319,0.561919844,1.496694743
Portugal,Spain,3,-0.009331591,-1.773082515,-0.237294787,0.820884205,-1.176793254,0.262993873
Netherlands,Brazil,4,0.388816304,0.16118932,0.612626173,-0.093932023,0.320662971,-1.222283188
Brazil,Netherlands,2,0.654248234,-0.16118932,-0.704751307,-1.008748252,-0.584050158,0.294101737
Uruguay,Ghana,3,-2.398218963,-0.322378639,0.430500254,-0.878060219,-0.092920157,-0.82991775
Ghana,Uruguay,3,-1.734639138,0.322378639,-0.417085753,1.016916254,0.320662971,0.083720405
Argentina,Germany,1,0.256100339,0.483567959,-0.120430653,0.820884205,0.831559772,4.278596658
Germany,Argentina,2,-0.938343347,-0.483567959,-0.237294787,-1.074092268,-0.271512952,2.325866654
Paraguay,Spain,3,-2.000071068,-1.611893195,0.541799421,-0.68202817,-1.521662023,-0.566549167
Spain,Paraguay,1,1.185112095,1.611893195,0.054865544,1.278292319,0.320662971,0.540001994
Uruguay,Netherlands,3,-1.601923173,-0.483567959,0.931346528,-0.093932023,0.561919844,2.100693266
Netherlands,Uruguay,4,-0.805627382,0.483567959,1.887507599,1.278292319,-0.721566585,1.630857391
Germany,Spain,2,0.654248234,-0.16118932,0.23016174,-1.074092268,-0.721566585,-0.377265119
Spain,Germany,1,1.450544025,0.16118932,0.12228716,0.494164123,1.871599765,0.322531644
Uruguay,Germany,3,-1.071059312,-0.483567959,0.493106036,0.167444042,0.103531811,1.263303204
Germany,Uruguay,4,-0.540195452,0.483567959,0.15225232,0.494164123,0.103531811,0.908852379
Netherlands,Spain,3,-1.071059312,-1.128325237,0.12228716,-1.40081235,-1.521662023,-0.971561355
Spain,Netherlands,1,0.786964199,1.128325237,-0.360309657,1.08226027,0.831559772,0.703935496
