"year","group","match","team","score","TPP","possession","target_shots","BACK","SMPC_TPC","fouls","side","side_attack","LB","CB","RB","LM","CM","RM","LF","CF","RF","LA","CA","RA","formation","Opponent","result","cluster"
2010,"D",20,"Australia",0,72,45,0.2,0.045454545,0.890625,19,52,52,3,13,6,10,20,24,0,15,9,8,23,69,"4231","Germany","l",4
2010,"D",21,"Germany",0,81,51,0.266666667,0.04,0.901960784,19,58,58,3,12,10,10,17,20,6,13,9,21,29,50,"4231","Serbia","l",1
2010,"D",21,"Serbia",1,73,49,0.333333333,0.041666667,0.844512195,10,45,45,4,16,4,11,20,16,4,19,6,28,36,36,"4123","Germany","w",4
2010,"D",22,"Ghana",1,77,50,0.272727273,0.0625,0.886597938,22,60,60,3,9,4,15,22,21,6,9,11,12,35,53,"4231","Australia","d",2
2010,"D",22,"Australia",1,72,50,0.625,0.037037037,0.823529412,18,52,52,6,13,8,10,20,21,1,15,6,14,43,43,"4231","Ghana","d",1
2010,"D",23,"Ghana",0,71,45,0.294117647,0.041666667,0.913846154,11,50,50,6,14,4,13,20,13,5,16,9,28,27,45,"4123","Germany","l",4
2010,"D",23,"Germany",1,77,55,0.461538462,0.052631579,0.890020367,5,62,62,2,10,7,16,16,18,7,12,12,41,17,42,"4231","Ghana","w",2
2010,"D",24,"Australia",2,67,45,0.411764706,0.033333333,0.841121495,25,48,48,4,19,7,11,13,18,4,20,4,31,23,46,"4231","Serbia","w",4
2010,"D",24,"Serbia",1,72,55,0.260869565,0.052631579,0.861244019,10,59,59,4,10,5,13,20,23,4,11,10,15,55,30,"4123","Australia","l",2
2010,"E",25,"Netherlands",2,80,58,0.388888889,0.058823529,0.897826087,13,53,53,2,12,3,15,21,20,7,14,6,35,36,29,"4231","Denmark","w",1
2010,"E",25,"Denmark",0,67,42,0.3,0.029411765,0.880952381,20,47,47,8,19,7,14,16,11,3,20,4,66,17,17,"442","Netherlands","l",4
2010,"E",26,"Japan",1,59,44,1,0.035714286,0.882608696,20,61,61,3,14,11,7,10,28,1,15,11,0,40,60,"4141","Cameroon","w",3
2010,"E",26,"Cameroon",0,71,56,0.363636364,0.04,0.84457478,29,54,54,5,12,8,11,21,16,6,13,8,37,13,50,"433","Japan","l",1
2010,"E",27,"Netherlands",1,77,61,0.555555556,0.052631579,0.862669246,18,54,54,4,11,4,19,20,18,3,13,6,25,50,25,"4231","Japan","w",1
2010,"E",27,"Japan",0,64,39,0.3,0.043478261,0.864864865,11,55,55,3,11,9,9,20,22,6,12,6,25,25,50,"4123","Netherlands","l",4
2010,"E",28,"Cameroon",1,77,54,0.347826087,0.071428571,0.864801865,9,61,61,3,8,3,12,21,17,9,10,17,34,33,33,"442","Denmark","l",2
2010,"E",28,"Denmark",2,72,46,0.461538462,0.045454545,0.821316614,12,56,56,5,13,4,18,17,19,2,14,8,10,30,60,"4231","Cameroon","w",3
2010,"E",29,"Denmark",1,78,56,0.368421053,0.047619048,0.827586207,23,55,55,8,11,2,14,22,17,5,12,9,23,33,44,"4321","Japan","l",1
2010,"E",29,"Japan",3,63,44,0.666666667,0.05,0.836363636,10,59,59,1,13,6,11,15,21,5,13,15,24,13,63,"4123","Denmark","w",3
2010,"E",30,"Cameroon",1,70,51,0.2,0.045454545,0.842227378,18,47,47,3,14,5,13,23,15,4,16,7,34,22,44,"442","Netherlands","l",4
2010,"E",30,"Netherlands",2,66,49,0.533333333,0.034482759,0.907859079,15,47,47,6,18,5,15,17,14,3,19,4,67,22,11,"4231","Cameroon","w",4
